"AccSpeciesName","Leaf area","Leaf area per leaf dry mass (specific leaf area, SLA)","Leaf carbon (C) content per leaf area","Leaf carbon/nitrogen (C/N) ratio","Leaf dry mass","Leaf lifespan (longevity)","Leaf nitrogen (N) content per leaf area","Leaf nitrogen (N) content per leaf dry mass","Leaf nitrogen/phosphorus (N/P) ratio","Leaf phosphorus (P) content per leaf dry mass","Leaf photosynthesis rate per leaf area","Leaf photosynthesis rate per leaf dry mass","Leaf thickness","Leaf width","Plant height","Plant lifespan years","Rooting depth","Seed dry mass","Stem conduit lumen cross-sectional area (vessels and tracheids) per stem sapwood cross-sectional area","Stem diameter","Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)","Stomata conductance per leaf area"
"Pinus ponderosa",178.85,5.55679592870318,2.236,NA,34.267,NA,2.772,NA,NA,NA,27.699,NA,7.84625,0.312926666666667,40.7338044444444,577.2,0.508,41.1991854535774,NA,1.87287250856043,0.42,NA
"Pinus radiata",NA,7.07528894897697,NA,NA,NA,NA,2.27070572293939,13.5270867647059,5.793911007,2.03333,21.511724137931,0.135994827586207,NA,0.17,26.1518,106.666666666667,0.762,41.1796424829754,NA,0.6,0.41,NA
"Pinus sabiniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,20.0386666666667,200,1.016,528.196760351371,NA,1.05,NA,NA
"Pinus sylvestris",596.633494705491,4.74279109294331,6.8,32.0501612312698,66.1696261906668,27,2.82220433023908,8.31274201872642,12.82717283,0.72771507987882,13.9940858235129,0.04,10.3462387096774,0.55625,22.3540416616073,490.833333333333,NA,8.75417681887505,NA,0.323597020573868,0.404515762206775,741.356191931609
"Pinus washoensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,32,275,NA,NA,NA,0.8,NA,NA
"Platanus racemosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,19.812,NA,0.9144,2.74401495599233,NA,2,NA,NA
"Populus fremontii",2837.23333333333,10.6558666084402,NA,NA,285,3,1.98,16.6,NA,NA,14.32,0.12,0.242666666666667,6.38156666666667,21.6394666666667,130,0.8128,0.56,NA,NA,NA,495
"Populus tremuloides",2494.78500697467,15.4497653126832,24.2,22.6,108.81595987264,4.53333333333333,1.933454455,16.6115028819444,10.99299872,1.238051,13.0693333333333,0.221520545223077,NA,5,15.3962791529153,156.5,0.9064,NA,NA,0.0529188394233372,0.365,431
"Populus trichocarpa",NA,14.8235294117647,NA,NA,NA,NA,NA,NA,NA,NA,16.4138888888889,NA,NA,NA,38.7124571428571,86.6666666666667,NA,NA,NA,NA,0.37,392.744444444444
"Prosopis glandulosa",957.182261624887,15.0998571162885,NA,17,186.956535714286,7,4.86,27.2217283333333,NA,NA,18.7391265675,0.16076766885,0.208888889,NA,7.1352,122.333333333333,0.3048,41.935050993022,NA,NA,0.747233333333333,367
"Prosopis pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9791,NA,0.6096,20.7949482401657,NA,NA,NA,NA
"Prunus avium",21678.5977011494,12.6966354679803,NA,NA,1834.36781609195,NA,NA,18,12.85714286,1.4,NA,NA,0.138528735632184,5.5,18.0085760377558,90,NA,241.014309090909,0.376501553575591,0.0568246982214984,0.551183333333333,NA
"Prunus emarginata",2701.31444444444,15.0308014112383,NA,NA,202.438269533438,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.00122666666667,37.3333333333333,0.508,57.1127315330939,NA,NA,NA,NA
"Prunus virginiana",1688.13326086957,16.3009173804085,NA,NA,145.559036416102,NA,0.485,16,NA,NA,NA,NA,NA,NA,5.62033333333333,505,0.5588,80.9959491621453,0.211202990915535,NA,NA,NA
"Pseudotsuga macrocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,25.62045,661,0.762,109.395785199188,NA,1.65,NA,NA
"Pseudotsuga menziesii",274.958719135802,11.082269350967,8.83333333333333,45,45.422270531401,NA,0.992497656,12.5603125,3.299176578,2.7325,10.1875,NA,0.493218196457327,0.504316666666667,55.5340538626539,771.111111111111,0.6604,13.2971296461295,NA,3.16241136015702,0.4625,NA
"Quercus agrifolia",1501.64666666667,11.8413763823807,NA,NA,130,NA,2.208703286,14.9,NA,NA,10.76023094,0.209070352966667,0.197777777666667,2.5,13.8871,250,0.9144,2269.2309178744,0.11366,NA,0.69,NA
"Quercus chrysolepis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,22.8215555555556,300,1.0668,5550.70147565416,NA,NA,0.7,NA
"Quercus douglasii",1035,7.65919273403075,NA,NA,NA,NA,2.53433563433462,18.9837235402903,NA,3.7,8.9298514957265,0.0690076694365926,NA,2.625,17.7249904761905,395,0.8128,22595.2613417089,0.08168,NA,0.75,189.879014989293
"Quercus engelmannii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,12.7626666666667,NA,NA,NA,NA,NA,NA,NA
"Quercus garryana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,21.5304,443.333333333333,1.0668,4949.59637396988,NA,NA,0.695,NA
"Quercus kelloggii",4367,9.8395,NA,NA,NA,NA,1.626597551,16.75,8.010471204,1.91,NA,NA,NA,9,26.1267333333333,500,0.9144,5668.26992976806,0.12578,NA,0.615,NA
"Quercus lobata",2485,9.13633333333333,NA,NA,NA,NA,2.5891334305,24.55,NA,NA,NA,NA,NA,5.5,25.0576,NA,1.0668,5076.94570398376,0.09443,NA,0.7,NA
"Quercus muehlenbergii",NA,19.6463654223969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,21.2814285714286,NA,0.7112,1162.20818840579,NA,NA,NA,NA
"Quercus wislizeni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,15.6688,175,NA,3632.37,NA,NA,NA,NA
"Robinia pseudoacacia",NA,41.9836809112355,NA,NA,NA,4.6,1.64,38.0636255490483,13.65517241,3.38243045387994,9.21,0.24,NA,2,17.9692362514029,126.666666666667,0.9144,18.9040045724072,NA,0.515290625,0.703197166666667,297
"Salix alba",796.98,12.2878602348588,NA,NA,62.396,NA,NA,29.1,NA,NA,NA,NA,NA,NA,20.8886354775828,139.090909090909,0.6096,0.12,0.3348309450196,1,0.326376666666667,NA
"Salix nigra",NA,19.5,NA,NA,NA,NA,NA,NA,NA,2.25,NA,NA,NA,NA,29.3913469387755,70,0.8128,0.155289855072464,NA,NA,0.41,NA
"Salix pyrifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9248,NA,NA,NA,NA,NA,NA,NA
"Sequoiadendron giganteum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.0828148148148,2575,1.016,4.99871132922663,NA,11,NA,NA
"Sequoia sempervirens",24,11.018,NA,NA,NA,NA,1.116355055,12.3,NA,NA,NA,NA,NA,NA,81.6563333333333,1728.57142857143,1.016,3.92681344112707,NA,5.53333333333333,0.46,NA
"Taxus brevifolia",NA,15.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,11.1966857142857,300,0.9144,29.8915298205985,NA,0.9,0.67,NA
"Thuja plicata",NA,507.4675,NA,NA,NA,NA,NA,7.525,12.2,0.7,NA,NA,NA,NA,47.3638333333333,960,0.762,1.36823228079225,NA,2.63333333333333,0.34,NA
"Torreya californica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.087619047619,175,NA,3630,NA,0.75,NA,NA
"Tsuga heterophylla",NA,136.977337662338,21,NA,NA,NA,NA,10.575,12.33333333,0.775,NA,NA,NA,NA,45.1322279202279,541.666666666667,0.9144,1.84663300705265,NA,NA,0.44,NA
"Tsuga mertensiana",NA,4.32,9.2,41.6,NA,NA,2.61,11.3,NA,NA,NA,NA,NA,NA,24.311,NA,1.016,3.97070446014938,NA,0.9,0.51,NA
"Umbellularia californica",1615,8.427,NA,32.2,NA,NA,1.8614880625,15.0333333333333,NA,NA,NA,NA,NA,2.25,26.0924,NA,0.4064,1799.98356280193,0.06872,NA,0.55,NA
